ticker,asset_class,median_daily_volume,median_dollar_volume_proxy,median_intraday_range_pct
ABBV,Equity,6125800.0,758372715.127182,0.017389623158956306
ABT,Equity,4920750.0,534641819.69718933,0.017483429224797387
ADBE,Equity,2582450.0,1173140100.05188,0.024260703917732378
AEP,Equity,2780450.0,242334831.89468384,0.017903593885885024
AMD,Equity,58495000.0,5037430452.640152,0.03757152308082917
AMGN,Equity,2472700.0,591046242.5643921,0.018193164657885535
AMT,Equity,1814850.0,421745396.54922485,0.021318652750042695
BA,Equity,9091500.0,1864091877.532959,0.0280914776282158
CAT,Equity,2948200.0,601922830.8433533,0.021944467626909235
CCI,Equity,1897350.0,292454989.80789185,0.020951494015259146
CMCSA,Equity,19918649.0,815635667.2427387,0.01934935580739194
COP,Equity,7105900.0,542957171.9146729,0.02829113979243157
CVX,Equity,9262750.0,1155572281.022644,0.020879132511262825
D,Equity,3603800.0,253543589.4859314,0.018412018812980227
DD,Equity,7362992.5,211536711.46752548,0.022339225914227125
DIS,Equity,10643450.0,1286607332.6644897,0.021508863688083128
DOW,Equity,4666500.0,248648539.00642395,0.023375597190879907
DUK,Equity,2954850.0,280751283.2935333,0.01664824246285337
EA,Equity,2155300.0,278576036.10687256,0.020249342295642007
GE,Equity,10790548.5,602066182.8059425,0.02520633403087083
GILD,Equity,7140850.0,492855276.37786865,0.01785402958052168
GS,Equity,2479250.0,756727418.3990479,0.021011878387145397
INTC,Equity,31640650.0,1364823955.4582596,0.02425713574314506
KO,Equity,14210000.0,790605281.8061829,0.013789871328877858
MMM,Equity,3257126.5,393837574.7032852,0.017967251154574947
MRK,Equity,9214250.0,800055965.3205872,0.016759884710543824
MS,Equity,8567800.0,661213846.231842,0.0220381586064078
NEE,Equity,7779000.0,572931489.7766113,0.01983134683537739
NEM,Equity,7034700.0,382239810.83278656,0.024167120391671328
NKE,Equity,6275250.0,755682897.7386475,0.019936999544965243
NUE,Equity,2136300.0,215809292.77763367,0.030658309647674412
NVDA,Equity,437375000.0,7912787701.715469,0.03538894740210484
O,Equity,3440700.5,217467041.16937256,0.017578495420547985
OXY,Equity,17383900.0,583377188.8772964,0.038223016975354344
PLD,Equity,2785350.0,329942842.04559326,0.0209638493248115
PSA,Equity,755300.0,211593341.09039307,0.01974761946622812
QCOM,Equity,7928000.0,978644976.1047363,0.025977524661461172
SBUX,Equity,6607050.0,640493563.2499695,0.01828266941833579
SHW,Equity,1356200.0,332796350.07095337,0.019933801113506795
SLB,Equity,11457400.0,390545198.7247467,0.03288023654178582
SO,Equity,4069450.0,268663006.60705566,0.016696343166462527
T,Equity,44003769.0,909375818.7505379,0.01611690445782164
TMUS,Equity,4405300.0,569069734.463501,0.018704408035672193
TTWO,Equity,1434700.0,202099865.3892517,0.025166260615333703
UPS,Equity,2985050.0,507428823.97613525,0.019041812190699656
USB,Equity,7372350.0,339802415.6642914,0.022754011283840615
V,Equity,7012750.0,1510838265.0054932,0.01754284098051396
WFC,Equity,24115150.0,970476031.063652,0.023909632930440485
WMT,Equity,20043900.0,942354935.4881287,0.014534207788548116
XOM,Equity,21200800.0,1534465608.6883545,0.023436058275580946
ADA-USD,Crypto,634274545.0,196284947.57581472,0.0569776316534926
BCH-USD,Crypto,1575407714.0,534411922400.70557,0.05033953454158385
BTC-USD,Crypto,29094934221.0,629206179691418.1,0.03615160737204566
EOS-USD,Crypto,712659497.0,2080492662.7954206,0.05203494826801567
ETC-USD,Crypto,625698360.0,8320801227.418808,0.05557652524088725
ETH-USD,Crypto,14157735481.0,16816042774295.857,0.04654410257111224
LTC-USD,Crypto,1244645331.0,98906493054.31424,0.05105426111658219
TRX-USD,Crypto,848178786.0,28288330.184723318,0.03928587252320844
XLM-USD,Crypto,258271148.0,24682229.35758341,0.05106975840761406
XRP-USD,Crypto,1847482831.0,720379022.9422506,0.048254833912105013
