dataset,check,issue_count
equities,duplicate_ticker_date,0
equities,missing_adjClose,0
equities,non_positive_adjClose,0
equities,negative_volume,0
equities,ohlc_inconsistency,0
equities,extreme_return_review,1283
crypto,duplicate_ticker_date,0
crypto,missing_adjClose,0
crypto,non_positive_adjClose,0
crypto,negative_volume,0
crypto,ohlc_inconsistency,0
crypto,extreme_return_review,618
crypto,rows_after_2023_12_31,10
news_headlines,blank_title,0
news_headlines,duplicate_ticker_date_title,2847
news_headlines,missing_publisher,140255
news_headlines,missing_url,0
