date,fund,family,method,ticker,weight
2023-12-01,Combined Equal Weight,Combined,equal_weight,PSA,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,QCOM,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,SBUX,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,SHW,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,SLB,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,SO,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,T,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,TMUS,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,PLD,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,TTWO,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,USB,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,V,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,WFC,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,WMT,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,XOM,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,ADA-USD,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,BCH-USD,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,BTC-USD,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,UPS,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,OXY,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,O,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,NVDA,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,CVX,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,D,0.016666666666666666
2023-12-01,Combined Equal Weight,Combined,equal_weight,DD,0.016666666666666666
