model,actual,predicted,count
standard_vader,Positive,Positive,182
standard_vader,Positive,Neutral,137
standard_vader,Positive,Negative,29
standard_vader,Neutral,Positive,147
standard_vader,Neutral,Neutral,353
standard_vader,Neutral,Negative,31
standard_vader,Negative,Positive,31
standard_vader,Negative,Neutral,32
standard_vader,Negative,Negative,58
finance_augmented_vader,Positive,Positive,199
finance_augmented_vader,Positive,Neutral,120
finance_augmented_vader,Positive,Negative,29
finance_augmented_vader,Neutral,Positive,149
finance_augmented_vader,Neutral,Neutral,352
finance_augmented_vader,Neutral,Negative,30
finance_augmented_vader,Negative,Positive,31
finance_augmented_vader,Negative,Neutral,30
finance_augmented_vader,Negative,Negative,60
