fund,family,method,first_live_date,last_live_date,observations,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown,ending_value,total_turnover,transaction_cost_bps,periods_per_year,estimation_window
Combined Equal Weight,Combined,equal_weight,2020-12-31,2023-12-29,754,0.15095001478409542,0.2123824619431634,0.7683710788373045,-0.28746987990265493,1.5229470829826164,1.0,10.0,252,252
Combined Minimum Variance,Combined,min_variance,2020-12-31,2023-12-29,754,0.05986712554368978,0.12622603846763683,0.5237594243871223,-0.15772443613106601,1.1900188939847662,9.861963218506268,10.0,252,252
Combined Risk Parity,Combined,risk_parity,2020-12-31,2023-12-29,754,0.1329474771708179,0.16171010100247205,0.8528891109826127,-0.20470460151534953,1.4527774619932392,1.962859923458182,10.0,252,252
Crypto Equal Weight,Crypto,equal_weight,2020-12-31,2023-12-31,1096,0.3362565161166686,0.8038911337282273,0.7671469338694336,-0.8159730614257943,2.3878905217674746,1.0,10.0,365,365
Crypto Minimum Variance,Crypto,min_variance,2020-12-31,2023-12-31,1096,0.600442003448294,0.7294298682439662,1.011410044966748,-0.7298713326771262,4.104680745109526,6.63859110333949,10.0,365,365
Crypto Risk Parity,Crypto,risk_parity,2020-12-31,2023-12-31,1096,0.37939506989695126,0.7862760649396461,0.806557058710844,-0.8022121357738832,2.6269313110340224,2.0288013501712276,10.0,365,365
Equity Equal Weight,Equity,equal_weight,2020-12-31,2023-12-29,754,0.12874909342944485,0.16159320052733744,0.8303716431906224,-0.20321862626913612,1.4367288205864426,1.0,10.0,252,252
Equity Minimum Variance,Equity,min_variance,2020-12-31,2023-12-29,754,0.055695944533528774,0.12639164477205309,0.4920332554445219,-0.15593353471287275,1.176060715671512,10.188800802042598,10.0,252,252
Equity Risk Parity,Equity,risk_parity,2020-12-31,2023-12-29,754,0.10150632894820033,0.14920554417453694,0.7226151173925593,-0.18929928630861026,1.3354503933568447,1.8829437763652046,10.0,252,252
Equity Reliability-Gated Sentiment,Equity,sentiment_tilt,2020-12-31,2023-12-29,754,0.061004861322105475,0.12643768809826436,0.531584630901363,-0.15617934433452707,1.1938451931636778,11.185879070977602,10.0,252,252
